gene,cor,Description
Os01g0749400,1,HAD-superfamily hydrolase subfamily IIB protein.
Os02g0271900,0.271690327658978,R2R3-MYB transcription factor 23, Response to drought and cadmium stresses
Os04g0690300,0.267189406667886,Similar to H0814G11.17 protein.
Os09g0454100,0.26298594465032,Peptidase S54, rhomboid domain containing protein.
Os07g0585600,0.26298594465032,Similar to N-acetyl-glutamate synthase.
Os05g0549850,0.26298594465032,Conserved hypothetical protein.
Os02g0783100,0.26298594465032,Mitochodrial transcription termination factor-related family protein.
Os02g0783100,0.26298594465032,Mitochodrial transcription termination factor-related family protein.
Os02g0710550,0.26298594465032,Hypothetical gene.
Os02g0550050,0.26298594465032,Hypothetical protein.
Os12g0234000,0.26298594465032,Hypothetical protein.
Os01g0849500,0.26298594465032,Protein of unknown function DUF3339 domain containing protein.
Os01g0519050,0.26298594465032,Hypothetical gene.
Os01g0506100,0.26298594465032,Pentatricopeptide repeat domain containing protein.
Os01g0506100,0.26298594465032,Pentatricopeptide repeat (PPR) protein, Regulation of salt tolerance
Os06g0244200,0.256545894654501,Conserved hypothetical protein.
Os03g0249200,0.25459640294067,Class I peptide chain release factor domain containing protein.
Os05g0556600,0.253988978593732,Hypothetical conserved gene.
Os04g0578600,0.24567521790403,Similar to H0404F02.15 protein.
Os04g0578600,0.24567521790403,Ferric reductase oxidase, Iron homeostasis, Drought, heat, salinity stress response
Os04g0621500,0.242925845455998,Disease resistance protein domain containing protein.
Os02g0762300,0.23750090159282,2-thiocytidine tRNA biosynthesis protein, TtcA domain containing protein.
Os09g0451800,0.235631445220945,Protein of unknown function DUF1644 family protein.
Os08g0532500,0.235631445220945,Transcription factor IIB (TFIIB)-related protein, Pollen development and grain formation, Male and female gametogenesis
Os08g0532500,0.235631445220945,Conserved hypothetical protein.
Os07g0637600,0.235631445220945,Serine/threonine-protein kinase haspin homolog
Os07g0623200,0.235631445220945,Heavy metal transporter protein, Regulation of yield and grain Fe-Zn content
Os07g0623200,0.235631445220945,ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter domain containing protein.
Os07g0623200,0.235631445220945,ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter domain containing protein.
Os06g0672801,0.235631445220945,Conserved hypothetical protein.
Os06g0249500,0.235631445220945,Pentatricopeptide repeat domain containing protein.
Os05g0548600,0.235631445220945,P-type pentatricopeptide repeat (PPR) protein, Coordination of grain size and grain number
Os04g0682850,0.235631445220945,Hypothetical protein.
Os04g0670100,0.235631445220945,Leucine Rich Repeat family protein
Os04g0624800,0.235631445220945,Aldo/keto reductase domain containing protein.
Os04g0228100,0.235631445220945,Similar to H0209A05.2 protein.
Os04g0172100,0.235631445220945,Conserved hypothetical protein.
Os03g0800200,0.235631445220945,ARGONAUTE (AGO) family protein, Development of pre-meiotic germ cells, Progression of meiosis
Os03g0718300,0.235631445220945,Hypothetical protein.
Os02g0254550,0.235631445220945,Zinc finger, BED-type predicted domain containing protein.
Os12g0566050,0.235631445220945,Hypothetical protein.
Os12g0231100,0.235631445220945,Conserved hypothetical protein.
Os11g0507400,0.235631445220945,Conserved hypothetical protein.
Os10g0490100,0.235631445220945,Virulence factor, pectin lyase fold family protein.
Os01g0263500,0.235631445220945,Similar to predicted protein.
Os05g0114950,0.230878968985565,Hypothetical conserved gene.
Os10g0456950,0.229703974239336,NA
Os04g0166300,0.229680010895315,Hypothetical gene.
Os08g0368333,0.229465650082763,Similar to cDNA clone:002-149-F01, full insert sequence.
Os04g0578800,0.228605677854639,Protein of unknown function DUF604 family protein.
Os04g0578800,0.228605677854639,Protein of unknown function DUF604 family protein.
Os01g0583100,0.226735452105807,Similar to Protein phosphatase 2C.
Os11g0194800,0.222985583325162,Similar to DNA-directed RNA polymerase II 7.6 kDa polypeptide (EC 2.7.7.6) (RPB10) (RPB7.6).
Os01g0121500,0.222836693007819,Conserved hypothetical protein.
Os05g0167600,0.222345388015875,Conserved hypothetical protein.
Os12g0272800,0.222185348702403,Typical coiled-coil nucleotide binding leucine rich repeat (CC-NB-LRR) type protein, Defense response
Os04g0474432,0.222120699520979,Non-protein coding transcript.
Os03g0754200,0.217649417587971,Similar to Triosephosphate isomerase.
Os03g0754200,0.217649417587971,Similar to Triosephosphate isomerase.
Os03g0754200,0.217649417587971,Similar to Triosephosphate isomerase.
Os09g0570600,0.2171038777449,PAP/25A core domain containing protein.
Os09g0570600,0.2171038777449,Non-protein coding transcript.
Os11g0195100,0.217071531336395,Similar to Protein translocase subunit secA.
Os03g0207400,0.214801428686682,Similar to Protein phosphatase 2C-like.
Os01g0542000,0.213814253102656,Similar to DNA-damage-repair/toleration protein DRT102.
Os04g0382400,0.213773743047938,Similar to OSIGBa0092E09.7 protein.
Os02g0202300,0.213219486038522,Nuclear pore complex protein NUP205, Protein of unknown function DUF3414 domain containing protein.
Os09g0569800,0.212959403915739,Serine/threonine protein kinase-related domain containing protein.
Os07g0696000,0.212064677263427,Conserved hypothetical protein.
Os08g0421800,0.211947582164278,Similar to Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.1.-) (Arabidospsis NPK1-related protein kinase 1). Splice isoform 1S.
Os07g0603200,0.211805678939268,WD40 repeat-like domain containing protein.
